Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-DD-AAD2,0.688,0.597,2.634
TCGA-DD-AAD3,0.903,0.28,5.2
TCGA-DD-AAD6,0.923,0.068,1.639
TCGA-DD-AADA,0.517,0.191,0.408
TCGA-DD-AADJ,0.598,0.105,0.312
TCGA-DD-AADN,0.473,0.253,0.454
TCGA-DD-AADQ,0.339,0.106,0.108
TCGA-DD-AADS,0.798,0.236,1.861
TCGA-DD-AADU,0.504,0.109,0.221
TCGA-DD-AADY,0.878,0.067,0.961
TCGA-DD-AAE1,0.627,0.092,0.308
TCGA-DD-AAE3,0.905,0.114,2.16
TCGA-DD-AAE4,0.874,0.172,2.379
TCGA-DD-AAE7,0.704,0.283,1.346
TCGA-DD-AAEA,0.432,0.23,0.35
TCGA-DD-AAEB,0.86,0.118,1.458
TCGA-DD-AAED,0.536,0.074,0.172
TCGA-DD-AAEH,0.807,0.226,1.889
TCGA-DD-AAEI,0.708,0.169,0.82
TCGA-DD-AAEK,0.889,0.394,6.296
TCGA-DD-AAVP,0.154,0.137,0.05
TCGA-DD-AAVR,0.663,0.474,1.863
TCGA-DD-AAVW,0.594,0.366,1.073
TCGA-DD-AAVX,0.629,0.169,0.574
TCGA-DD-AAW1,0.6,0.12,0.36
TCGA-DD-AAW2,0.897,0.081,1.401
TCGA-DD-AAW3,0.892,0.097,1.606
TCGA-ED-A4XI,0.741,1.138,6.522
TCGA-ED-A627,0.499,0.536,1.069
TCGA-ED-A7PY,0.924,0.082,2.005
TCGA-EP-A12J,0.911,0.093,1.894
TCGA-ES-A2HS,0.823,0.131,1.218
TCGA-ES-A2HT,0.791,0.526,3.98
TCGA-FV-A3R3,0.902,0.462,8.5
TCGA-G3-A3CH,0.914,0.239,5.096
TCGA-G3-A3CI,0.904,0.598,11.228
TCGA-G3-A7M5,0.913,0.139,2.897
TCGA-G3-A7M7,0.908,0.337,6.641
TCGA-G3-AAUZ,0.042,0.146,0.013
TCGA-G3-AAV0,0.921,0.115,2.674
TCGA-HP-A5N0,0.923,0.3,7.231
TCGA-K7-A6G5,0.872,0.293,4.011
TCGA-LG-A9QD,0.914,0.346,7.324
TCGA-MI-A75H,0.658,0.208,0.8
TCGA-NI-A8LF,0.886,0.201,3.145
TCGA-RC-A6M5,0.643,1.017,3.665
TCGA-RC-A7SF,0.904,0.141,2.677
TCGA-UB-AA0V,0.58,1.039,2.872
TCGA-WQ-AB4B,0.179,0.23,0.101
TCGA-XR-A8TE,0.864,0.171,2.174
TCGA-ZP-A9CV,0.932,0.301,8.297
TCGA-ZP-A9CY,0.749,0.237,1.417
TCGA-ZP-A9D0,0.565,0.187,0.485
TCGA-ZP-A9D1,0.705,0.358,1.706
TCGA-ZS-A9CD,0.755,0.335,2.071
TCGA-ZS-A9CG,0.452,0.161,0.266
