Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-AG-A015,0.657,0.062,0.238
TCGA-EI-6917,0.737,0.447,2.501
TCGA-AG-4015,0.841,0.085,0.902
TCGA-AG-3881,0.898,0.195,3.453
TCGA-G5-6641,0.599,0.162,0.485
TCGA-AH-6897,0.828,0.073,0.707
TCGA-AG-3731,0.611,0.572,1.8
TCGA-F5-6812,0.487,0.411,0.78
TCGA-DC-6157,0.681,0.135,0.575
TCGA-DC-5337,0.847,0.17,1.888
TCGA-AG-A011,0.813,0.4,3.474
TCGA-AG-A025,0.726,0.147,0.778
TCGA-AG-3592,0.747,0.126,0.745
TCGA-F5-6813,0.791,0.265,2.002
TCGA-AG-3901,0.444,0.652,1.043
TCGA-AF-A56N,0.675,0.144,0.598
TCGA-AG-4001,0.738,0.278,1.567
TCGA-DY-A1DG,0.894,0.038,0.636
TCGA-AG-3887,0.846,0.099,1.085
TCGA-AG-3999,0.865,0.132,1.691
TCGA-AG-3583,0.818,0.162,1.45
TCGA-AG-3727,0.91,0.082,1.659
TCGA-AG-3883,0.914,0.258,5.488
TCGA-AG-4008,0.593,0.23,0.67
TCGA-AF-6655,0.618,0.252,0.815
TCGA-DC-6682,0.861,0.305,3.762
TCGA-AG-3591,0.784,0.071,0.513
TCGA-AG-3580,0.734,0.312,1.726
TCGA-AG-3584,0.834,0.168,1.692
TCGA-AH-6643,0.741,0.132,0.756
TCGA-CI-6621,0.655,0.351,1.329
TCGA-AF-6672,0.665,0.143,0.567
TCGA-AF-3911,0.714,0.119,0.597
TCGA-AG-A01L,0.772,0.085,0.577
TCGA-AG-A02G,0.901,0.107,1.95
TCGA-AG-3599,0.614,0.12,0.38
TCGA-DY-A1H8,0.91,0.077,1.552
TCGA-AG-3896,0.733,0.216,1.19
TCGA-AH-6544,0.758,0.416,2.608
