Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-FI-A2D4,0.849,0.042,0.476
TCGA-FI-A2D6,0.884,0.06,0.914
TCGA-FI-A2EU,0.882,0.064,0.961
TCGA-FI-A2EW,0.897,0.052,0.91
TCGA-FI-A2EX,0.862,0.125,1.571
TCGA-FI-A2EY,0.91,0.061,1.227
TCGA-FI-A2F8,0.744,0.295,1.712
TCGA-FI-A2F9,0.852,0.04,0.457
TCGA-FI-A3PV,0.779,0.151,1.064
TCGA-FI-A3PX,0.841,0.032,0.336
TCGA-H5-A2HR,0.938,0.079,2.405
TCGA-JU-AAVI,0.897,0.366,6.335
TCGA-K6-A3WQ,0.813,0.1,0.87
TCGA-KP-A3W0,0.645,0.231,0.842
TCGA-KP-A3W1,0.826,0.415,3.939
TCGA-KP-A3W3,0.813,0.095,0.825
TCGA-KP-A3W4,0.535,0.239,0.55
TCGA-PG-A5BC,0.757,0.238,1.48
TCGA-PG-A7D5,0.876,0.13,1.827
TCGA-PG-A914,0.858,0.092,1.118
TCGA-PG-A915,0.805,0.054,0.448
TCGA-PG-A916,0.556,0.113,0.283
TCGA-PG-A917,0.542,0.166,0.394
TCGA-QS-A5YR,0.797,0.399,3.124
TCGA-QS-A744,0.576,0.064,0.174
TCGA-SJ-A6ZI,0.5,0.338,0.676
TCGA-SL-A6J9,0.901,0.208,3.779
TCGA-SL-A6JA,0.875,0.054,0.757
