Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-63-A5MW,0.788,0.171,1.268
TCGA-66-2727,0.83,0.327,3.197
TCGA-66-2734,0.589,1.034,2.965
TCGA-66-2742,0.751,0.397,2.395
TCGA-66-2744,0.55,0.726,1.777
TCGA-66-2754,0.887,0.075,1.176
TCGA-66-2755,0.703,0.561,2.652
TCGA-66-2756,0.865,0.125,1.604
TCGA-66-2757,0.834,0.11,1.109
TCGA-66-2758,0.823,0.439,4.074
TCGA-66-2759,0.795,0.406,3.144
TCGA-66-2763,0.8,0.313,2.507
TCGA-66-2765,0.711,0.493,2.421
TCGA-66-2766,0.883,0.129,1.943
TCGA-66-2767,0.513,0.794,1.673
TCGA-66-2768,0.848,0.384,4.291
TCGA-66-2769,0.681,0.629,2.681
TCGA-66-2770,0.626,0.395,1.323
TCGA-66-2771,0.843,0.759,8.173
TCGA-66-2773,0.581,0.502,1.394
TCGA-66-2777,0.635,0.679,2.359
TCGA-66-2778,0.881,0.895,13.318
TCGA-66-2780,0.722,0.633,3.283
TCGA-66-2781,0.831,0.481,4.733
TCGA-66-2782,0.744,0.542,3.15
TCGA-66-2783,0.74,0.367,2.089
TCGA-66-2785,0.79,0.47,3.53
TCGA-66-2786,0.627,0.42,1.409
TCGA-66-2787,0.783,0.576,4.144
TCGA-66-2788,0.53,0.794,1.792
TCGA-66-2789,0.673,0.424,1.745
TCGA-66-2791,0.651,0.737,2.746
TCGA-66-2792,0.75,0.187,1.12
TCGA-66-2793,0.878,0.063,0.905
TCGA-66-2794,0.796,0.276,2.153
TCGA-66-2795,0.828,0.253,2.438
TCGA-66-2800,0.652,0.304,1.139
TCGA-68-7755,0.842,0.185,1.971
TCGA-68-7756,0.546,0.575,1.38
TCGA-68-8250,0.612,0.397,1.255
TCGA-68-8251,0.732,0.637,3.486
TCGA-68-A59J,0.751,0.441,2.661
TCGA-70-6722,0.663,0.803,3.161
TCGA-70-6723,0.881,0.073,1.092
TCGA-77-6842,0.654,0.347,1.311
TCGA-77-6843,0.738,0.216,1.217
TCGA-77-6844,0.768,0.27,1.791
TCGA-77-6845,0.876,0.107,1.507
TCGA-77-7139,0.866,0.132,1.7
TCGA-77-7140,0.878,0.127,1.823
TCGA-77-7141,0.814,0.195,1.709
TCGA-77-7142,0.832,0.425,4.213
TCGA-77-7335,0.575,0.711,1.924
TCGA-77-7337,0.823,0.487,4.543
TCGA-77-7338,0.596,0.495,1.457
TCGA-77-7463,0.839,0.329,3.426
TCGA-77-7465,0.844,0.301,3.243
TCGA-77-8007,0.573,1.022,2.745
TCGA-77-8008,0.371,1.224,1.446
TCGA-77-8009,0.852,0.105,1.212
TCGA-77-8130,0.645,0.458,1.665
TCGA-77-8131,0.399,1.706,2.269
TCGA-77-8133,0.522,0.442,0.965
TCGA-77-8136,0.555,1.174,2.926
TCGA-77-8138,0.566,1.051,2.736
TCGA-77-8139,0.816,0.612,5.434
TCGA-77-8140,0.791,0.478,3.612
TCGA-77-8143,0.869,0.181,2.407
TCGA-77-8144,0.887,0.213,3.332
TCGA-77-8145,0.606,0.67,2.063
TCGA-77-8148,0.777,0.151,1.052
TCGA-77-8150,0.814,0.222,1.933
TCGA-77-8153,0.87,0.189,2.526
TCGA-77-8154,0.838,0.267,2.755
TCGA-77-8156,0.658,1.013,3.905
TCGA-77-A5FZ,0.135,0.617,0.192
TCGA-77-A5G3,0.833,0.18,1.799
TCGA-77-A5G6,0.85,0.172,1.957
TCGA-77-A5GF,0.629,0.321,1.088
TCGA-77-A5GH,0.591,0.594,1.716
TCGA-79-5596,0.843,0.252,2.699
TCGA-85-6175,0.254,0.885,0.602
TCGA-85-6560,0.831,0.386,3.805
TCGA-85-6561,0.501,0.793,1.591
TCGA-85-7696,0.812,0.198,1.713
TCGA-85-7697,0.691,0.936,4.179
TCGA-85-7698,0.618,0.353,1.139
TCGA-85-7699,0.692,0.331,1.487
TCGA-85-7710,0.783,0.209,1.501
TCGA-85-7843,0.76,0.283,1.795
TCGA-85-7844,0.595,0.554,1.628
TCGA-85-7950,0.716,0.279,1.408
TCGA-85-8048,0.48,1.984,3.66
TCGA-85-8049,0.352,1.246,1.354
TCGA-85-8052,0.666,0.501,1.995
TCGA-85-8070,0.894,0.045,0.758
TCGA-85-8071,0.835,0.107,1.082
TCGA-85-8072,0.671,0.366,1.489
TCGA-85-8276,0.674,0.79,3.266
TCGA-85-8277,0.852,0.284,3.264
TCGA-85-8287,0.448,0.614,0.994
TCGA-85-8288,0.664,0.385,1.523
TCGA-85-8350,0.548,0.557,1.349
TCGA-85-8351,0.716,0.344,1.733
TCGA-85-8353,0.523,0.83,1.822
TCGA-85-8354,0.884,0.114,1.734
TCGA-85-8355,0.449,1.666,2.717
TCGA-85-8479,0.886,0.297,4.611
TCGA-85-8481,0.615,1.142,3.645
TCGA-85-8580,0.664,0.983,3.89
TCGA-85-8584,0.66,0.706,2.745
TCGA-85-8664,0.87,0.205,2.733
TCGA-85-A4CL,0.855,0.304,3.593
TCGA-85-A4CN,0.773,0.541,3.678
TCGA-85-A4JB,0.796,0.571,4.451
TCGA-85-A4QQ,0.839,0.434,4.513
TCGA-85-A50M,0.738,0.884,4.992
TCGA-85-A50Z,0.859,0.967,11.82
TCGA-85-A510,0.811,0.335,2.877
TCGA-85-A511,0.588,0.938,2.68
TCGA-85-A512,0.873,0.192,2.643
TCGA-85-A53L,0.845,0.773,8.414
TCGA-85-A5B5,0.84,0.106,1.108
TCGA-90-7766,0.726,0.402,2.132
TCGA-90-7767,0.793,0.295,2.264
TCGA-90-7769,0.87,0.176,2.355
TCGA-90-7964,0.577,0.254,0.693
TCGA-90-A4ED,0.759,0.343,2.165
TCGA-90-A4EE,0.726,0.779,4.127
TCGA-90-A59Q,0.588,0.785,2.243
TCGA-92-7340,0.655,0.809,3.076
TCGA-92-7341,0.833,0.341,3.41
TCGA-92-8063,0.75,0.518,3.113
TCGA-92-8064,0.568,0.718,1.887
TCGA-92-8065,0.694,0.514,2.327
TCGA-94-7033,0.894,0.629,10.646
TCGA-94-7557,0.827,0.349,3.348
TCGA-94-7943,0.745,0.226,1.32
TCGA-94-8035,0.828,0.572,5.511
TCGA-94-8490,0.879,0.163,2.358
TCGA-94-8491,0.793,0.522,4.008
TCGA-94-A4VJ,0.771,0.278,1.871
TCGA-94-A5I4,0.833,0.225,2.256
TCGA-94-A5I6,0.807,0.602,5.039
TCGA-96-7544,0.807,0.42,3.502
TCGA-96-7545,0.61,0.834,2.612
TCGA-96-8169,0.55,0.739,1.804
TCGA-96-8170,0.538,0.896,2.085
TCGA-96-A4JL,0.679,0.821,3.465
TCGA-98-8020,0.669,0.375,1.513
TCGA-98-8021,0.585,0.424,1.192
TCGA-98-8022,0.485,0.445,0.838
TCGA-98-8023,0.603,0.874,2.65
TCGA-98-A538,0.783,0.426,3.069
TCGA-98-A539,0.7,0.621,2.894
TCGA-98-A53A,0.839,0.234,2.44
TCGA-98-A53B,0.672,0.516,2.114
TCGA-98-A53I,0.648,0.477,1.751
TCGA-98-A53J,0.833,0.429,4.292
